Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_Bruto;Tipo Agregado
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;;3020.0;Apartamento
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;2947.0;Apartamento
Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0;12000.0;Apartamento
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;6200.0;Apartamento
Apartamento;Irajá;2;1;0;65;1100.0;255.0;;1355.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;;4500.0;Apartamento
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;;1650.0;Apartamento
Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;6769.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;3650.0;Apartamento
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;2100.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;8087.0;Apartamento
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;6000.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;2880.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;6700.0;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;3300.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;2350.0;Apartamento
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;11000.0;Apartamento
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;2819.0;Apartamento
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;1600.0;Apartamento
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;1815.0;Apartamento
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;2439.0;Apartamento
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;4800.0;Apartamento
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;3632.0;Apartamento
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;;2750.0;Apartamento
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;6860.0;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;3297.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;;3512.0;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;3410.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;6000.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;;2561.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;;2373.0;Apartamento
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;3090.0;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;10100.0;Apartamento
Apartamento;Urca;1;0;0;53;2800.0;770.0;;3570.0;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;6600.0;Apartamento
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;2790.0;Apartamento
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;1864.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;6500.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;;2295.0;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;2536.0;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;3420.0;Apartamento
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;1550.0;Apartamento
Apartamento;Penha;2;0;0;64;950.0;180.0;;1130.0;Apartamento
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;;7900.0;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;4800.0;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;11210.0;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;2718.0;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;1805.0;Apartamento
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;;2300.0;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;4200.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;7800.0;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;2140.0;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;3245.0;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;;1980.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0;3250.0;Apartamento
Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;4800.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;2481.0;Apartamento
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;;3190.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;;4190.0;Apartamento
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;;4180.0;Apartamento
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;;4220.0;Apartamento
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0;3800.0;Apartamento
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;;3621.0;Apartamento
Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0;3826.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0;12300.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0;2370.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;4;1;217;3300.0;947.0;547.0;4247.0;Apartamento
Apartamento;São Conrado;3;2;1;140;4700.0;1620.0;515.0;6320.0;Apartamento
